product_id,product_name,피부타입,formula_group,y_total_reviews,y_negative_rate_raw,y_negative_rate_smoothed,high_risk,predict_proba,prediction,is_correct
A000000204949,센텔리안24 마데카 크림 타임 리버스,약건성,f588029a4c0bb098cf3d5f29947b01ba,46,0.06521739130434782,0.06301970188741268,0,0.20471941146858336,0,1
A000000204949,센텔리안24 마데카 크림 타임 리버스,중성,f588029a4c0bb098cf3d5f29947b01ba,52,0.019230769230769232,0.02999028228568386,0,0.20683783329888478,0,1
A000000204949,센텔리안24 마데카 크림 타임 리버스,지성,f588029a4c0bb098cf3d5f29947b01ba,52,0.057692307692307696,0.05776806006346163,0,0.22770894359029764,0,1
A000000204949,센텔리안24 마데카 크림 타임 리버스,트러블성,f588029a4c0bb098cf3d5f29947b01ba,54,0.037037037037037035,0.04269324762931402,0,0.2117587998028056,0,1
A000000206212,메디큐브 제로 모공 원데이 크림,건성,d2daf04be52c1c5b1bf3faa9e3483aff,26,0.11538461538461539,0.09041957227324429,1,0.4069123120257345,0,0
A000000206212,메디큐브 제로 모공 원데이 크림,민감성,d2daf04be52c1c5b1bf3faa9e3483aff,23,0.13043478260869565,0.09672791452486598,1,0.42259008935293996,0,0
A000000206212,메디큐브 제로 모공 원데이 크림,복합성,d2daf04be52c1c5b1bf3faa9e3483aff,41,0.0975609756097561,0.08457869384539733,1,0.43929657039519404,0,0
A000000206212,메디큐브 제로 모공 원데이 크림,지성,d2daf04be52c1c5b1bf3faa9e3483aff,17,0.11764705882352941,0.08538649525862804,1,0.4501893153727834,0,0
A000000206904,라로슈포제 시카플라스트 밤 B5,건성,99add072facd538a5708ec2364350f93,59,0.06779661016949153,0.06530759904518021,0,0.43303983352216013,0,1
A000000206904,라로슈포제 시카플라스트 밤 B5,민감성,99add072facd538a5708ec2364350f93,58,0.017241379310344827,0.027683337494477406,0,0.4668805967276499,0,1
A000000206904,라로슈포제 시카플라스트 밤 B5,복합성,99add072facd538a5708ec2364350f93,56,0.05357142857142857,0.054727635849595224,0,0.4805023209084557,1,0
A000000206904,라로슈포제 시카플라스트 밤 B5,약건성,99add072facd538a5708ec2364350f93,57,0.03508771929824561,0.041029874345055034,0,0.4181751173040549,0,1
A000000206904,라로슈포제 시카플라스트 밤 B5,중성,99add072facd538a5708ec2364350f93,53,0.07547169811320754,0.07067534691190736,0,0.4805023209084557,1,0
A000000206904,라로슈포제 시카플라스트 밤 B5,지성,99add072facd538a5708ec2364350f93,57,0.08771929824561403,0.079990913306094,1,0.5135417418107456,1,1
A000000206904,라로슈포제 시카플라스트 밤 B5,트러블성,99add072facd538a5708ec2364350f93,58,0.1724137931034483,0.1430679528790928,1,0.4864858352780825,1,1
A000000209747,제로이드 수딩 크림,건성,9487e028a95e10580769138fcdc6bea8,20,0.0,0.02898250811423094,0,0.5679247393777632,1,0
A000000209747,제로이드 수딩 크림,민감성,9487e028a95e10580769138fcdc6bea8,17,0.0,0.03133244120457399,0,0.6016399484575057,1,0
A000000209747,제로이드 수딩 크림,복합성,9487e028a95e10580769138fcdc6bea8,22,0.0,0.027602388680219945,0,0.5996735746166945,1,0
A000000209747,제로이드 수딩 크림,지성,9487e028a95e10580769138fcdc6bea8,23,0.043478260869565216,0.050216286617889246,0,0.6073402836026923,1,0
A000000209747,제로이드 수딩 크림,트러블성,9487e028a95e10580769138fcdc6bea8,19,0.15789473684210525,0.10664872627100608,1,0.6081411756783079,1,1
A000000213409,덱스판테놀17만ppm 장벽크림,건성,e7412acf957bf93a0ff31e8b934554d6,57,0.12280701754385964,0.10596493928011996,1,0.530294800196545,1,1
A000000213409,덱스판테놀17만ppm 장벽크림,민감성,e7412acf957bf93a0ff31e8b934554d6,44,0.06818181818181818,0.06498906757139433,0,0.5438424022318588,1,0
A000000213409,덱스판테놀17만ppm 장벽크림,복합성,e7412acf957bf93a0ff31e8b934554d6,57,0.03508771929824561,0.041029874345055034,0,0.5405078009326413,1,0
A000000213409,덱스판테놀17만ppm 장벽크림,중성,e7412acf957bf93a0ff31e8b934554d6,18,0.0,0.030507903278137835,0,0.5422141489802982,1,0
A000000213409,덱스판테놀17만ppm 장벽크림,지성,e7412acf957bf93a0ff31e8b934554d6,54,0.18518518518518517,0.15080135573742212,1,0.5507913866883709,1,1
