product_id,product_name_raw,product_name_clean,강조문구_1,강조문구_2,강조문구_3,clean_predict,raw_predict
A000000257128,[텔레토비 콜라보] 구달 어성초 히알루론 수딩 크림 75ml 리필 기획 (+75ml) (+왕 스티커 3매),구달 어성초 히알루론 수딩 크림 리필 ( 왕 스티커 ),수분·수부지·아쿠아,진정·시카·민감,,수분·수부지·아쿠아(히알루); 진정·시카·민감(수딩),
A000000188751,[김재원 PICK] 몰바니 아티초크 카밍 케어 수딩 크림 100ml,몰바니 아티초크 카밍 케어 수딩 크림,진정·시카·민감,,,"진정·시카·민감(카밍,수딩)",
A000000260348,[4배속_응급진정/장벽강화]리쥬덱스 더마 리페어링 크림 20g(단품/기획),리쥬덱스 더마 리페어링 크림,보습·장벽·리페어,탄력·주름·안티에이징,,보습·장벽·리페어(리페어); 탄력·주름·안티에이징(리쥬),
A000000250188,[촉촉광채/올인원멀티케어] 가히 멀티밤 9g,가히 멀티밤,보습·장벽·리페어,,,보습·장벽·리페어(멀티밤),
A000000230799,[모공천재/화잘먹] 오드로이 모공수축 크림 모공요철 케어 100ml 더블기획 (+미스트앰플 30ml),오드로이 모공수축 크림 모공요철 케어 ( 미스트앰플 ),피지·모공·트러블,,,"피지·모공·트러블(모공,모공수축)",
A000000206053,[수딩진정] 넘버즈인 1번 판토텐산 액티브 수딩크림 80ml 1+1 기획,넘버즈인 1번 판토텐산 액티브 수딩크림,보습·장벽·리페어,진정·시카·민감,,보습·장벽·리페어(판토); 진정·시카·민감(수딩),
A000000187127,피지오겔 레드수딩 시카밸런스 크림 80ml 대용량,피지오겔 레드수딩 시카밸런스 크림 대용량,진정·시카·민감,피지·모공·트러블,,"진정·시카·민감(시카,수딩,레드); 피지·모공·트러블(피지)",
A000000258860,[고현정 PICK]코이 플로우 리프팅 랩핑 크림 포어앤쿨 50g 기획 (+ 미니 20g),코이 플로우 리프팅 랩핑 크림 포어앤쿨 ( 미니 ),피지·모공·트러블,탄력·주름·안티에이징,,피지·모공·트러블(포어); 탄력·주름·안티에이징(리프팅),
A000000249580,[트러블 피부 추천/약산성 장벽 케어] 제로이드 핌프로브 레드 컨트롤 크림 pH4 80ml,제로이드 핌프로브 레드 컨트롤 크림 pH4,진정·시카·민감,,,진정·시카·민감(레드),
A000000166586,[대용량] 라운드랩 자작나무 수분 크림 120ml 대용량 기획(+패드 4매),라운드랩 자작나무 수분 크림 대용량 ( 패드 ),수분·수부지·아쿠아,,,수분·수부지·아쿠아(수분),
A000000204308,[모공고민|화잘먹] 바이오힐보 프로바이오덤 콜라겐 리모델링 크림 [단품/증정기획],바이오힐보 프로바이오덤 콜라겐 리모델링 크림,탄력·주름·안티에이징,,,"탄력·주름·안티에이징(콜라겐,리모델링)",
A000000233614,[1+1/화잘먹] 이니스프리 그린티 수분크림 50ml 더블기획,이니스프리 그린티 수분크림,수분·수부지·아쿠아,,,수분·수부지·아쿠아(수분),
A000000209747,제로이드 수딩 크림 80ml,제로이드 수딩 크림,진정·시카·민감,,,진정·시카·민감(수딩),
A000000238929,[광채크림/NEW대용량] 차앤박 프로폴리스 앰플 액티브 샷 크림 75ml 2입,차앤박 프로폴리스 앰플 액티브 샷 크림,미백·잡티·톤업,,,,미백·잡티·톤업(광채)
A000000259494,[7월올영픽/1등진정] 파넬 시카마누 레드 리페어 크림 50ml 더블기획 (+세럼 15ml),파넬 시카마누 레드 리페어 크림 ( 세럼 ),보습·장벽·리페어,진정·시카·민감,,"보습·장벽·리페어(리페어); 진정·시카·민감(시카,레드)",
A000000240908,[속건조수분크림] 메디큐브 PDRN 핑크 히알루로닉 수분크림 50ml 더블기획 (+앰플10ml),메디큐브 PDRN 핑크 히알루로닉 수분크림 ( 앰플10ml),수분·수부지·아쿠아,탄력·주름·안티에이징,,"수분·수부지·아쿠아(수분,히알루); 탄력·주름·안티에이징(PDRN)",
A000000258935,리쥬란 더마 힐러 포어 타이트닝 크림 50ml(+포어 앰플 10ml 증정)/50ml 단품,리쥬란 더마 힐러 포어 타이트닝 크림 /,피지·모공·트러블,탄력·주름·안티에이징,,"피지·모공·트러블(포어,타이트); 탄력·주름·안티에이징(리쥬)",
A000000229455,셀라딕스 트러블 세라 캡슐 131 크림 95ml,셀라딕스 트러블 세라 캡슐 131 크림,보습·장벽·리페어,피지·모공·트러블,,보습·장벽·리페어(세라); 피지·모공·트러블(트러블),
A000000210054,아누아 복숭아 나이아신아마이드 인리치드 크림 50mL,아누아 복숭아 나이아신아마이드 인리치드 크림,기타/강조문구 약함,,,,
A000000258830,[7월올영픽/화잘먹크림] 피지오겔 DMT 리제너러티브 크림 100ml 기획(+토너 50ml),피지오겔 DMT 리제너러티브 크림 ( 토너 ),피지·모공·트러블,,,피지·모공·트러블(피지),
A000000259039,[UPGRADE] 이니스프리 레티놀 시카 모공 흔적 크림 50ml 기획(+30ml),이니스프리 레티놀 시카 모공 흔적 크림,진정·시카·민감,피지·모공·트러블,탄력·주름·안티에이징,"진정·시카·민감(시카,흔적); 피지·모공·트러블(모공); 탄력·주름·안티에이징(레티놀)",
A000000251937,[20ml 증정/붉은기완화] 세타필 시카 세라 장벽 크림 45ml,세타필 시카 세라 장벽 크림,보습·장벽·리페어,진정·시카·민감,,"보습·장벽·리페어(장벽,세라); 진정·시카·민감(시카)",
A000000225409,아누아 어성초 센텔라 레드 스팟 크림 30g,아누아 어성초 센텔라 레드 스팟 크림,진정·시카·민감,,,"진정·시카·민감(센텔라,레드)",
