테마,제품수,product_name_raw,product_name_clean
,,에스트라 아토베리어365 하이드로 수딩크림 80ml,에스트라 아토베리어365 하이드로 수딩크림
,,[올영 단독] 에뛰드 순정 수분 베리어 크림 75ml 트리오 기획 (75ml X 3EA),에뛰드 순정 수분 베리어 크림 트리오 ( X )
,,[카니PICK/속수분크림] 웰라쥬 리얼 히알루로닉 수딩 크림 80ml 기획(+20ml),웰라쥬 리얼 히알루로닉 수딩 크림
,,[수분/진정] 아벤느 클리낭스 아쿠아크림-인-젤 수분 크림50ml 2입기획,아벤느 클리낭스 아쿠아크림-인-젤 수분 크림50ml 2입
,,[2700만개 판매] 유세린 하이알루론 3X 나이트크림 50ml 기획 (+나이트크림7ml*2),유세린 하이알루론 3X 나이트크림 ( 나이트크림7ml*2)
,,[민감/진정크림]아벤느 똘레랑스 하이드레이팅 플루이드 40ml,아벤느 똘레랑스 하이드레이팅 플루이드
,,[민감/진정크림]아벤느 똘레랑스 하이드레이팅 크림 40ml,아벤느 똘레랑스 하이드레이팅 크림
,,어바웃미 숲 진정 수분 크림 80ml (100시간 수분지속 진정크림),어바웃미 숲 진정 수분 크림 (100시간 수분지속 진정크림)
,,[더블기획/수부지맞춤] 라운드랩 자작나무 수분 크림 80ml 더블 기획 (+말랑 파우치) (눈멍이 콜라보),라운드랩 자작나무 수분 크림 ( 말랑 파우치) (눈멍이 콜라보)
,,[1등 모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획(60ml+30ml),에스네이처 아쿠아 스쿠알란 수분크림
,,브링그린 대나무 히알루 수분 부스팅 크림 100ml (2입기획/단품),브링그린 대나무 히알루 수분 부스팅 크림
,,[수분충전/세라마이드] 로벡틴 아쿠아 히알루로닉 수딩 크림 60ml,로벡틴 아쿠아 히알루로닉 수딩 크림
,,아비브 히알루로닉 붐 크림 워터튜브 75ml,아비브 히알루로닉 붐 크림 워터튜브
,,[100시간10층보습]비욘드 엔젤아쿠아 보습장벽크림 더블기획(150mlX2입)(비건),비욘드 엔젤아쿠아 보습장벽크림 (150mlX2입)(비건)
,,[수분진정] 라운드랩 포 맨 자작나무 수분 크림 75ml,라운드랩 포 맨 자작나무 수분 크림
,,[쿨링/진정] 센텔리안24 마데카 수분크림 하이드라 카밍 기획(50ml+15ml),센텔리안24 마데카 수분크림 하이드라 카밍
,,[쫀득물착크림] 스킨푸드 블루 캐모마일 히알루로닉 수분크림 기획(70ml+30ml),스킨푸드 블루 캐모마일 히알루로닉 수분크림
,,이즈앤트리 히아루론산 아쿠아 젤 크림 100ml,이즈앤트리 히아루론산 아쿠아 젤 크림
,,[100시간 보습 대용량]프리메이 진정한 수분 크림 100ml (+30ml+30ml),프리메이 진정한 수분 크림
,,[화잘먹 엑소좀수분크림] 리브엠 워터핏 8중 수분착붙 크림 100ml,리브엠 워터핏 8중 수분착붙 크림
,,헤라 하이드로 리플렉팅 마이크로 크림 50ml,헤라 하이드로 리플렉팅 마이크로 크림
,,[장벽UP] 더랩바이블랑두 저분자 히알루론산 카밍+ 크림 80ml 대용량 기획(+20ml),더랩바이블랑두 저분자 히알루론산 카밍 크림 대용량
