product_id,product_name,canonical_name,ingredient_order,concentration_ppm
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,소듐메타포스페이트,21,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,세라마이드엔피,22,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,카보머,23,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,팔미틱애씨드,24,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,실리카,25,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,징크클로라이드,26,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,콜레스테롤,27,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,베타-글루칸,28,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,스핑고리피드,29,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,소듐하이알루로네이트,30,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,하이드록시프로필메틸셀룰로오스,31,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,미리스틱애씨드,32,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,프로필렌글라이콜,33,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,라우릭애씨드,34,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,토코페롤,35,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,정제수,1,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,부틸렌글라이콜,2,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,"1,2-헥산다이올",3,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,나이아신아마이드,4,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,글리세린,5,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,프로판다이올,6,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,소듐카보머,7,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,8,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,알지닌,9,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,에틸헥실글리세린,10,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,아데노신,11,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,덱스트린,12,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,다이소듐이디티에이,13,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,치자추출물,14,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,폴리글루타믹애씨드,15,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,감추출물,16,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,고수추출물,17,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,샤프란꽃추출물,18,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,소두구씨추출물,19,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,쌀추출물,20,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,쑥잎추출물,21,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,회향씨추출물,22,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,메틸프로판다이올,23,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,하이드로제네이티드레시틴,24,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,녹차카테킨,25,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,버지니아풍년화추출물,26,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,소듐하이알루로네이트,27,1
A000000258214,믹순 히알레배 포어 워터풀 젤크림,폴리글리세릴-4카프레이트,28,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,병풀캘러스세포외소포,29,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,피토스테롤,30,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,글루코노락톤,31,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,카프릴로일살리실릭애씨드,32,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,트로메타민,33,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,삼색제비꽃추출물,34,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,소듐디엔에이,35,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,카페인,36,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,C18-21알케인,37,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,벤질글라이콜,38,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,카프릴릴글라이콜,39,
